"day","Yeild","irr"
"0","0.0","40.68148148148309"
"1","0.0","40.68148148148309"
"2","0.0","40.68148148148309"
"3","0.0","40.68148148148309"
"4","0.0","40.68148148148309"
"5","0.0","78.20740740740925"
"6","0.0","78.20740740740925"
"7","0.0","78.20740740740925"
"8","0.0","78.20740740740925"
"9","0.0","78.20740740740925"
"10","0.0","78.20740740740925"
"11","0.0","78.20740740740925"
"12","0.0","78.20740740740925"
"13","0.0","78.20740740740925"
"14","0.0","78.20740740740925"
"15","0.0","78.20740740740925"
"16","0.0","78.20740740740925"
"17","0.0","78.20740740740925"
"18","0.0","78.20740740740925"
"19","0.0","78.20740740740925"
"20","0.0","78.20740740740925"
"21","0.0","78.20740740740925"
"22","0.0","78.20740740740925"
"23","0.0","78.20740740740925"
"24","0.0","78.20740740740925"
"25","0.0","78.20740740740925"
"26","0.0","78.20740740740925"
"27","0.0","78.20740740740925"
"28","0.0","78.20740740740925"
"29","0.0","78.20740740740925"
"30","0.0","78.20740740740925"
"31","0.0","78.20740740740925"
"32","0.0","78.20740740740925"
"33","0.0","78.20740740740925"
"34","0.0","78.20740740740925"
"35","0.0","78.20740740740925"
"36","0.0","78.20740740740925"
"37","0.0","78.20740740740925"
"38","0.0","78.20740740740925"
"39","0.0","78.20740740740925"
"40","0.0","78.20740740740925"
"41","0.0","78.20740740740925"
"42","0.0","78.20740740740925"
"43","0.0","78.20740740740925"
"44","0.0","78.20740740740925"
"45","0.0","78.20740740740925"
"46","0.0","78.20740740740925"
"47","0.0","78.20740740740925"
"48","0.0","78.20740740740925"
"49","0.0","78.20740740740925"
"50","0.0","78.20740740740925"
"51","0.0","78.20740740740925"
"52","0.0","78.20740740740925"
"53","0.0","78.20740740740925"
"54","0.0","78.20740740740925"
"55","0.0","78.20740740740925"
