"day","Yeild","irr"
"55","24447.637133183853","1132.58666666665"
"56","24452.466855039518","1132.58666666665"
"57","24457.72170175422","1132.58666666665"
"58","24463.419361976252","1132.58666666665"
"59","24469.57725614261","1170.133333333316"
"60","24476.212674794682","1170.133333333316"
"61","24483.344389651586","1170.133333333316"
"62","24490.990733181305","1170.133333333316"
"63","24499.170248035527","1170.133333333316"
"64","24507.900371679974","1170.133333333316"
"65","24517.197727788727","1170.133333333316"
"66","24527.081138123347","1207.6799999999819"
"67","24537.567906082022","1207.6799999999819"
"68","24548.6741700103","1207.6799999999819"
"69","24560.41860237171","1207.6799999999819"
"70","24572.82073527924","1207.6799999999819"
"71","24585.8993281128","1207.6799999999819"
"72","24599.65004231505","1207.6799999999819"
"73","24614.12280135103","1207.6799999999819"
"74","24629.330987988706","1239.8933333333146"
"75","24645.28549983841","1245.2266666666478"
"76","24662.002780463034","1245.2266666666478"
"77","24679.501715469687","1245.2266666666478"
"78","24697.792269510395","1245.2266666666478"
"79","24716.905500762332","1245.2266666666478"
"80","24736.856565477457","1245.2266666666478"
"81","24757.6470995966","1245.2266666666478"
"82","24779.277481628815","1245.2266666666478"
"83","24801.74549141612","1245.2266666666478"
"84","24825.171101009037","1245.2266666666478"
"85","24849.536073584488","1245.2266666666478"
"86","24874.83115750658","1245.2266666666478"
"87","24901.099344447215","1245.2266666666478"
"88","24928.34166346752","1245.2266666666478"
"89","24956.57082415899","1245.2266666666478"
"90","24985.820495255648","1265.9199999999807"
"91","25016.092039585794","1282.7733333333138"
"92","25047.41407665503","1282.7733333333138"
"93","25079.78174135685","1282.7733333333138"
"94","25113.23458425094","1282.7733333333138"
"95","25147.78521339478","1282.7733333333138"
"96","25183.397102884748","1282.7733333333138"
"97","25220.000945941287","1282.7733333333138"
"98","25257.697036186008","1282.7733333333138"
"99","25296.653181499067","1282.7733333333138"
"100","25336.839165043755","1282.7733333333138"
"101","25378.235193066743","1282.7733333333138"
"102","25420.84798394339","1282.7733333333138"
"103","25464.682436266885","1282.7733333333138"
"104","25509.744989528306","1320.3199999999797"
"105","25556.097811519638","1320.3199999999797"
"106","25603.73645158947","1320.3199999999797"
"107","25652.607225921092","1320.3199999999797"
"108","25702.563222642806","1320.3199999999797"
"109","25753.704298671186","1320.3199999999797"
"110","25806.372690763463","1320.3199999999797"
"111","25860.483647236633","1320.3199999999797"
"112","25915.992446063086","1320.3199999999797"
"113","25972.976134364017","1320.3199999999797"
"114","26031.362004338982","1320.3199999999797"
"115","26091.188206219238","1320.3199999999797"
"116","26152.518545533785","1320.3199999999797"
"117","26215.342917012094","1320.3199999999797"
"118","26279.681423244347","1344.4266666666458"
"119","26345.485551144073","1358.2933333333121"
"120","26412.842266508273","1358.2933333333121"
"121","26481.71230395398","1358.2933333333121"
"122","26551.788717272164","1358.2933333333121"
"123","26622.907216733554","1358.2933333333121"
"124","26695.455766675943","1358.2933333333121"
"125","26769.884596341693","1358.2933333333121"
"126","26846.070090163492","1358.2933333333121"
"127","26923.779233542446","1358.2933333333121"
"128","27003.108021570046","1358.2933333333121"
"129","27084.26109942391","1358.2933333333121"
"130","27167.240931011966","1358.2933333333121"
"131","27251.90630073189","1358.2933333333121"
"132","27338.14978452044","1358.2933333333121"
"133","27426.014769406494","1358.2933333333121"
"134","27515.686022782214","1358.2933333333121"
"135","27607.085450953604","1358.2933333333121"
"136","27699.88416052004","1358.2933333333121"
"137","27794.075036402584","1358.2933333333121"
"138","27890.137102879133","1358.2933333333121"
"139","27987.997346087923","1358.2933333333121"
"140","28087.431004894213","1358.2933333333121"
"141","28188.586301864278","1358.2933333333121"
"142","28291.98574932427","1358.2933333333121"
"143","28398.081569156664","1358.2933333333121"
"144","28506.55761173896","1358.2933333333121"
"145","28616.9284664551","1358.2933333333121"
"146","28729.060292037546","1358.2933333333121"
"147","28843.159717748247","1358.2933333333121"
"148","28959.250854090787","1358.2933333333121"
"149","29077.391760154824","1358.2933333333121"
"150","29197.585365030736","1358.2933333333121"
"151","29319.795942014727","1358.2933333333121"
"152","29444.061078699036","1358.2933333333121"
"153","29570.434460065535","1358.2933333333121"
"154","29698.77915492439","1358.2933333333121"
"155","29828.802939937566","1358.2933333333121"
"156","29959.051556604863","1358.2933333333121"
"157","30089.325797693273","1358.2933333333121"
"158","30219.591988580858","1358.2933333333121"
"159","30349.774719947018","1358.2933333333121"
"160","30479.984063121854","1358.2933333333121"
"161","30610.278968505998","1396.2666666666446"
"162","30740.540727022497","1396.2666666666446"
"163","30870.57437418191","1396.2666666666446"
"164","31000.41077031502","1396.2666666666446"
"165","31130.372344541538","1396.2666666666446"
"166","31260.39316797571","1396.2666666666446"
"167","31390.37511213818","1396.2666666666446"
"168","31520.427630144794","1434.239999999977"
"169","31650.409251546007","1434.239999999977"
"170","31780.597434969368","1434.239999999977"
"171","31910.788901097967","1434.239999999977"
"172","32041.167407467103","1434.239999999977"
"173","32171.428501362134","1434.239999999977"
"174","32301.532506076754","1434.239999999977"
"175","32431.472710103608","1434.239999999977"
"176","32561.39611176249","1434.239999999977"
"177","32691.392629313188","1434.239999999977"
"178","32821.47560944277","1434.239999999977"
"179","32951.67547836594","1434.239999999977"
"180","33081.871968917294","1472.2133333333095"
"181","33212.15525311649","1472.2133333333095"
"182","33342.30318111095","1472.2133333333095"
"183","33472.345610260476","1472.2133333333095"
"184","33602.14360247069","1472.2133333333095"
"185","33731.927503206374","1472.2133333333095"
"186","33861.696838889126","1472.2133333333095"
"187","33991.104337526376","1472.2133333333095"
"188","34120.156365318","1472.2133333333095"
"189","34248.95652660654","1472.2133333333095"
"190","34377.44908233599","1472.2133333333095"
"191","34505.98319560895","1472.2133333333095"
"192","34634.71064029213","1472.2133333333095"
"193","34763.36774422709","1472.2133333333095"
"194","34891.80041679984","1472.2133333333095"
"195","35019.90577892095","1472.2133333333095"
"196","35148.08569434744","1472.2133333333095"
"197","35276.61754275467","1472.2133333333095"
"198","35405.59707641464","1472.2133333333095"
"199","35534.935732094236","1472.2133333333095"
"200","35664.33403180825","1472.2133333333095"
"201","35793.418902865706","1472.2133333333095"
"202","35922.161659111756","1472.2133333333095"
"203","36050.85674424563","1472.2133333333095"
"204","36179.65660696217","1472.2133333333095"
"205","36308.32214777456","1472.2133333333095"
"206","36436.59020001602","1472.2133333333095"
"207","36565.04922638823","1472.2133333333095"
"208","36693.763576255464","1472.2133333333095"
"209","36822.82515076904","1472.2133333333095"
"210","36952.108341701336","1472.2133333333095"
"211","37081.483098768455","1472.2133333333095"
"212","37210.59308516696","1472.2133333333095"
"213","37339.23633107972","1472.2133333333095"
"214","37467.844687776655","1472.2133333333095"
"215","37596.52791026867","1472.2133333333095"
"216","37725.30857828357","1472.2133333333095"
"217","37854.02855888719","1472.2133333333095"
"218","37982.67767824627","1472.2133333333095"
"219","38111.29032739254","1509.7599999999754"
"220","38239.44844109206","1509.7599999999754"
"221","38367.2931785963","1509.7599999999754"
"222","38495.467099752605","1509.7599999999754"
"223","38623.873272793186","1509.7599999999754"
"224","38752.308519374965","1509.7599999999754"
"225","38880.74896110383","1509.7599999999754"
"226","39009.205725950495","1509.7599999999754"
"227","39137.23100163807","1509.7599999999754"
"228","39265.0296138102","1509.7599999999754"
"229","39393.201821586204","1509.7599999999754"
"230","39521.650298168766","1509.7599999999754"
"231","39650.30013269962","1509.7599999999754"
"232","39778.498733540975","1509.7599999999754"
"233","39906.2930476289","1509.7599999999754"
"234","40034.177984544745","1509.7599999999754"
"235","40162.29534270994","1509.7599999999754"
"236","40290.68324228922","1509.7599999999754"
"237","40418.74088387576","1509.7599999999754"
"238","40545.98014873884","1509.7599999999754"
"239","40672.81717437329","1509.7599999999754"
"240","40800.13699096316","1509.7599999999754"
"241","40927.730558133975","1509.7599999999754"
"242","41055.58013500408","1509.7599999999754"
"243","41183.2632408098","1509.7599999999754"
"244","41310.78727409418","1509.7599999999754"
"245","41438.43930382981","1509.7599999999754"
"246","41566.06997646862","1509.7599999999754"
"247","41693.6677642466","1509.7599999999754"
"248","41820.936895450526","1509.7599999999754"
"249","41948.00729316694","1509.7599999999754"
"250","42075.13410789555","1509.7599999999754"
"251","42202.124900641174","1509.7599999999754"
"252","42328.57114210854","1509.7599999999754"
"253","42454.37944685914","1509.7599999999754"
"254","42580.09926021853","1509.7599999999754"
"255","42706.221978292895","1509.7599999999754"
"256","42832.75204542981","1509.7599999999754"
"257","42959.604003432985","1509.7599999999754"
"258","43086.1142737747","1509.7599999999754"
"259","43212.65346397533","1509.7599999999754"
"260","43339.55686271056","1509.7599999999754"
"261","43466.64361616525","1509.7599999999754"
"262","43593.60311081124","1509.7599999999754"
"263","43719.943400421194","1509.7599999999754"
"264","43846.11392670556","1509.7599999999754"
"265","43972.40391135943","1509.7599999999754"
"266","44098.37122344206","1509.7599999999754"
"267","44223.70679297936","1509.7599999999754"
"268","44348.132882329235","1509.7599999999754"
"269","44471.97600374339","1509.7599999999754"
"270","44595.749356834174","1509.7599999999754"
"271","44719.0978979923","1509.7599999999754"
"272","44841.85570140922","1509.7599999999754"
"273","44964.332324676965","1509.7599999999754"
"274","45086.81851579371","1509.7599999999754"
"275","45209.40566702677","1509.7599999999754"
"276","45331.636805576854","1509.7599999999754"
"277","45454.23921448648","1509.7599999999754"
"278","45577.68734804659","1509.7599999999754"
"279","45701.68187883088","1509.7599999999754"
"280","45826.001067963676","1509.7599999999754"
"281","45950.524127709636","1509.7599999999754"
"282","46075.42198373537","1509.7599999999754"
"283","46200.65303615131","1509.7599999999754"
"284","46326.145420462104","1509.7599999999754"
"285","46452.13814817715","1509.7599999999754"
"286","46578.67018464743","1509.7599999999754"
"287","46705.36382948148","1509.7599999999754"
"288","46831.014989770054","1509.7599999999754"
"289","46954.74709956137","1509.7599999999754"
"290","47077.655500138935","1509.7599999999754"
"291","47201.03160078943","1509.7599999999754"
"292","47324.97500175741","1509.7599999999754"
"293","47449.32030878425","1509.7599999999754"
"294","47573.62238036077","1509.7599999999754"
"295","47697.872895932065","1509.7599999999754"
"296","47822.026704290736","1509.7599999999754"
"297","47946.68116164108","1509.7599999999754"
"298","48071.95301017271","1509.7599999999754"
"299","48197.59918619396","1509.7599999999754"
"300","48323.255468255935","1509.7599999999754"
"301","48448.88224523547","1509.7599999999754"
"302","48574.575998636035","1509.7599999999754"
"303","48700.41537887524","1509.7599999999754"
"304","48826.34977133703","1509.7599999999754"
"305","48952.59028973873","1509.7599999999754"
"306","49079.208638170494","1547.7333333333079"
"307","49206.20144634302","1547.7333333333079"
"308","49333.5158833053","1547.7333333333079"
"309","49460.82903247294","1547.7333333333079"
"310","49587.9329903919","1547.7333333333079"
"311","49714.87594416107","1547.7333333333079"
"312","49841.68962087451","1547.7333333333079"
"313","49968.64975583405","1547.7333333333079"
"314","50095.88333055752","1547.7333333333079"
"315","50223.28341044195","1547.7333333333079"
"316","50350.80350167817","1585.7066666666403"
"317","50478.116738082244","1585.7066666666403"
"318","50604.988872337366","1585.7066666666403"
"319","50731.54204746296","1585.7066666666403"
"320","50858.16888924092","1585.7066666666403"
"321","50985.003441588175","1585.7066666666403"
"322","51111.88912818894","1585.7066666666403"
"323","51238.61539571512","1585.7066666666403"
"324","51365.13396686023","1585.7066666666403"
"325","51491.40920975661","1585.7066666666403"
"326","51617.77731602822","1585.7066666666403"
"327","51743.81630521452","1585.7066666666403"
"328","51869.01275902545","1585.7066666666403"
"329","51993.845194597394","1585.7066666666403"
"330","52118.686900083885","1585.7066666666403"
"331","52243.50085801296","1585.7066666666403"
"332","52368.299798454114","1585.7066666666403"
"333","52493.14013206668","1585.7066666666403"
"334","52617.86285860491","1585.7066666666403"
"335","52742.38926217566","1623.6799999999728"
"336","52867.01630827474","1623.6799999999728"
"337","52991.92156313182","1623.6799999999728"
"338","53117.01834955631","1623.6799999999728"
"339","53242.22922955386","1623.6799999999728"
"340","53367.567863407836","1623.6799999999728"
"341","53493.091425065286","1623.6799999999728"
"342","53618.83875687367","1623.6799999999728"
"343","53744.55982699983","1623.6799999999728"
"344","53870.32188149368","1661.2266666666387"
"345","53996.25765019926","1661.2266666666387"
"346","54122.27770068574","1661.2266666666387"
"347","54248.22675066807","1661.2266666666387"
"348","54374.21035468005","1661.2266666666387"
"349","54500.373105222374","1661.2266666666387"
"350","54626.707364514456","1661.2266666666387"
"351","54752.73319372112","1661.2266666666387"
"352","54878.36024569169","1699.1999999999712"
"353","55004.147583441314","1699.1999999999712"
"354","55130.138298135724","1699.1999999999712"
"355","55256.312382180964","1699.1999999999712"
"356","55382.477064048486","1699.1999999999712"
"357","55508.51962379865","1699.1999999999712"
"358","55634.36975748629","1699.1999999999712"
"359","55760.02324396195","1736.746666666637"
"360","55885.58779567953","1736.746666666637"
"361","56011.17763170103","1736.746666666637"
"362","56136.809650884796","1736.746666666637"
"363","56262.52438041658","1736.746666666637"
"364","56388.25116364633","1736.746666666637"
"365","56513.947325528614","1736.746666666637"
